neighbour_quartile,from,to,probability
1,Q1(low),Q1(low),0.8958
1,Q1(low),Q2,0.0625
1,Q1(low),Q3,0.0208
1,Q1(low),Q4(high),0.0208
1,Q2,Q1(low),0.15
1,Q2,Q2,0.75
1,Q2,Q3,0.1
1,Q2,Q4(high),0.0
1,Q3,Q1(low),0.1
1,Q3,Q2,0.1
1,Q3,Q3,0.7333
1,Q3,Q4(high),0.0667
1,Q4(high),Q1(low),0.0833
1,Q4(high),Q2,0.0
1,Q4(high),Q3,0.25
1,Q4(high),Q4(high),0.6667
2,Q1(low),Q1(low),0.8057
2,Q1(low),Q2,0.1327
2,Q1(low),Q3,0.0427
2,Q1(low),Q4(high),0.019
2,Q2,Q1(low),0.151
2,Q2,Q2,0.7347
2,Q2,Q3,0.102
2,Q2,Q4(high),0.0122
2,Q3,Q1(low),0.0209
2,Q3,Q2,0.1257
2,Q3,Q3,0.7539
2,Q3,Q4(high),0.0995
2,Q4(high),Q1(low),0.0139
2,Q4(high),Q2,0.0139
2,Q4(high),Q3,0.1111
2,Q4(high),Q4(high),0.8611
3,Q1(low),Q1(low),0.7636
3,Q1(low),Q2,0.1727
3,Q1(low),Q3,0.0455
3,Q1(low),Q4(high),0.0182
3,Q2,Q1(low),0.1773
3,Q2,Q2,0.695
3,Q2,Q3,0.1064
3,Q2,Q4(high),0.0213
3,Q3,Q1(low),0.0307
3,Q3,Q2,0.1411
3,Q3,Q3,0.681
3,Q3,Q4(high),0.1472
3,Q4(high),Q1(low),0.0053
3,Q4(high),Q2,0.0368
3,Q4(high),Q3,0.1368
3,Q4(high),Q4(high),0.8211
4,Q1(low),Q1(low),0.8621
4,Q1(low),Q2,0.0862
4,Q1(low),Q3,0.0345
4,Q1(low),Q4(high),0.0172
4,Q2,Q1(low),0.1111
4,Q2,Q2,0.6111
4,Q2,Q3,0.1944
4,Q2,Q4(high),0.0833
4,Q3,Q1(low),0.0556
4,Q3,Q2,0.0926
4,Q3,Q3,0.6667
4,Q3,Q4(high),0.1852
4,Q4(high),Q1(low),0.0233
4,Q4(high),Q2,0.0
4,Q4(high),Q3,0.1163
4,Q4(high),Q4(high),0.8605
